path,speaker_id
audio/train/spk001_train_01.wav,spk001
audio/train/spk001_train_02.wav,spk001
audio/train/spk001_train_03.wav,spk001
audio/train/spk001_train_04.wav,spk001
audio/train/spk001_train_05.wav,spk001
audio/train/spk001_train_06.wav,spk001
audio/train/spk002_train_01.wav,spk002
audio/train/spk002_train_02.wav,spk002
audio/train/spk002_train_03.wav,spk002
audio/train/spk002_train_04.wav,spk002
audio/train/spk002_train_05.wav,spk002
audio/train/spk002_train_06.wav,spk002
audio/train/spk003_train_01.wav,spk003
audio/train/spk003_train_02.wav,spk003
audio/train/spk003_train_03.wav,spk003
audio/train/spk003_train_04.wav,spk003
audio/train/spk003_train_05.wav,spk003
audio/train/spk003_train_06.wav,spk003
audio/train/spk004_train_01.wav,spk004
audio/train/spk004_train_02.wav,spk004
audio/train/spk004_train_03.wav,spk004
audio/train/spk004_train_04.wav,spk004
audio/train/spk004_train_05.wav,spk004
audio/train/spk004_train_06.wav,spk004
